lon,lat,dune_length,dune_volume
-179.7902832,-49.45959473,259.3260496,607501.1691
-179.7902832,-49.45959473,256.7586415,1208180.017
-179.7902832,-49.45959473,313.8470965,808699.9723
-179.7902832,-49.45959473,315.7530681,585204.1139
-179.7902832,-49.45959473,284.6049894,1310165.032
-179.7902832,-49.45959473,286.4000698,756155.573
-179.7902832,-49.45959473,323.8826948,515961.2622
-179.7902832,-49.45959473,235.8495283,534857.9838
-179.7902832,-49.45959473,324.6921619,571266.1225
-179.7902832,-49.45959473,265.8006772,395737.0655
-179.7902832,-49.45959473,291.2043956,551483.3443
-179.7902832,-49.45959473,305.2867504,759709.4251
-179.7902832,-49.45959473,316.7412193,1065708.59
-179.7902832,-49.45959473,407.4616546,1240875.359
-179.7902832,-49.45959473,311.8493226,273985.3233
-179.7902832,-49.45959473,307.9366818,669873.3079
-179.7902832,-49.45959473,275.0454508,999406.7524
-179.7902832,-49.45959473,338.0088756,966375.9777
-178.7167969,-49.75805664,217.3131381,394096.606
-178.7167969,-49.75805664,141.1559421,210943.6392
-178.7167969,-49.75805664,237.118114,1289626.963
-178.7167969,-49.75805664,179.5132307,349541.005
-178.7167969,-49.75805664,215.6965461,553719.893
-178.7167969,-49.75805664,367.8654645,2056487.484
-178.7167969,-49.75805664,201.5564437,591793.5399
-178.7167969,-49.75805664,286.3564213,1515886.654
-178.7167969,-49.75805664,198.3053202,210222.1025
-177.6599121,-47.40002441,216.3908501,333271.8559
-177.6599121,-47.40002441,325.5764119,762300.7664
-177.6599121,-47.40002441,170,565118.5837
-177.6599121,-47.40002441,237.0653918,901170.5591
-177.6599121,-47.40002441,183.3712082,508650.2717
-177.4705811,-63.77172852,202.4845673,120933.3193
-177.4705811,-63.77172852,208.8061302,140318.0737
-177.4705811,-63.77172852,68.00735254,27144.42989
-177.4705811,-63.77172852,183.3712082,118116.4938
-177.4705811,-63.77172852,106.0660172,43032.66307
-177.4705811,-63.77172852,196.0229578,235880.8822
-177.4705811,-63.77172852,206.5187643,178489.7801
-177.4705811,-63.77172852,190.0657781,170582.8266
-177.4705811,-63.77172852,92.19544457,28800.6429
-177.4705811,-63.77172852,164.924225,117869.7148
-177.4705811,-63.77172852,202.6079959,130631.2298
-177.4705811,-63.77172852,192.3538406,104639.209
-177.4705811,-63.77172852,135,47538.75669
-176.4281006,-46.71972656,261.7728023,1593685.03
-176.4281006,-46.71972656,228.2542442,361164.8393
-176.4281006,-46.71972656,169.8528775,198115.3917
-176.4281006,-46.71972656,340.0735215,2162031.04
-176.4281006,-46.71972656,180.2775638,553517.4518
-176.4281006,-46.71972656,152.0690633,290477.6471
-176.4281006,-46.71972656,174.642492,716753.9831
-176.4281006,-46.71972656,174.642492,299171.7557
-176.4281006,-46.71972656,85.14693183,132922.6729
-176.4281006,-46.71972656,196.977156,361843.7249
-176.4281006,-46.71972656,169.7056275,125651.6377
-176.4281006,-46.71972656,193.0025907,396196.6426
-176.4281006,-46.71972656,168.6712779,425364.2621
-176.4281006,-46.71972656,222.0923231,919816.9008
-175.5616455,-50.07324219,289.9137803,694286.1749
-175.5616455,-50.07324219,365.8209945,605344.1336
-175.5616455,-50.07324219,348.1738072,924607.2418
-175.5616455,-50.07324219,208.0865205,506221.2525
-175.5616455,-50.07324219,260,538457.6455
-175.5616455,-50.07324219,279.3295545,407853.4912
-175.5616455,-50.07324219,134.6291202,86834.86051
-175.5616455,-50.07324219,246.9817807,234407.4187
-175.5616455,-50.07324219,176.1391495,176750.1966
-175.5616455,-50.07324219,261.629509,1395729.976
-175.5616455,-50.07324219,185.6071119,1300479.658
-175.5616455,-50.07324219,278.5677655,717423.2232
-175.5616455,-50.07324219,241.9194081,677499.932
-175.5616455,-50.07324219,292.9590415,1021816.175
-175.5616455,-50.07324219,400.312378,1403641.709
-175.5616455,-50.07324219,731.641989,14606286.78
-175.5616455,-50.07324219,297.195222,820975.4531
-175.4455566,-51.92529297,245.8149711,1091630.682
-175.4455566,-51.92529297,235.0531855,1337852.192
-175.4455566,-51.92529297,288.4874347,2393714.214
-175.4455566,-51.92529297,208.8659857,656348.3144
-175.4455566,-51.92529297,304.1381265,963798.7118
-175.4455566,-51.92529297,169.1892432,241088.8429
-175.4455566,-51.92529297,152.0690633,301936.9543
-175.4455566,-51.92529297,230,578918.0346
-175.4455566,-51.92529297,279.5084972,1686245.445
-175.4455566,-51.92529297,181.7278185,404606.8553
-175.4455566,-51.92529297,157.876534,235198.3084
-175.4455566,-51.92529297,537.5872022,1570018.989
-175.4455566,-51.92529297,251.0975906,1549337.163
-175.4455566,-51.92529297,365,1549058.784
-175.4455566,-51.92529297,155.0806242,438065.5249
-175.4455566,-51.92529297,243.3105012,465479.5896
-175.4455566,-51.92529297,368.8156721,1483914.981
-175.4455566,-51.92529297,201.8043607,549116.5737
-175.4455566,-51.92529297,226.5502152,478554.9329
-175.4455566,-51.92529297,292.6174978,712957.8225
-175.4455566,-51.92529297,299.541316,688788.6582
-175.4455566,-51.92529297,149.1643389,88614.64338
-175.4455566,-51.92529297,228.5278976,813487.715
-175.4455566,-51.92529297,283.6370921,599063.7072
-175.4455566,-51.92529297,191.3765921,422232.2437
-175.4455566,-51.92529297,190,942273.7735
-175.4455566,-51.92529297,340.5877273,549783.8244
-175.4455566,-51.92529297,347.6348659,1067453.866
-175.4455566,-51.92529297,251.7935662,700566.7138
-175.4455566,-51.92529297,525.0952295,1658123.17
