Dune Field,Latitude,Longitude,Large Type,Large Wavelength (m),Large Width (m),Large Height (m),Small Type,Small Wavelength (m),Small Width (m),Small Height (m),Mean Resultant Flux Magnitude (m^2/yr),Mean of Flux Magnitudes (m^2/yr)
Rub Al Khali,21.217792510986328,50.62489318847656,b,1084.2415626530858,2394.761869603294,15.862689299705604,b,418.2273665856749,632.9471082231277,9.040027235316096,4.138768338941234,6.8419246870362525
Rub Al Khali,22.3419132232666,52.3123893737793,l,1040.9576905002712,7875.780471562295,23.896373880524248,b,363.17804354004414,540.9262221668216,12.4172449571889,6.046383366816564,9.698609030396847
El Djouf,18.688518524169922,352.968017578125,t,550.4667192892421,2561.312724412969,20.979685847997732,b,362.39191989649083,551.23998065221,13.321247680720512,8.781283582654272,16.15410629336618
El Djouf,20.9367618560791,355.499267578125,b,1365.4635688822207,2429.978795410482,44.534926625302504,b,1365.4635688822207,2429.978795410482,44.534926625302504,8.667898938809813,13.212326390920127
West Registan Desert,29.64870262145996,62.99987030029297,l,2004.5753842143383,21712.919923806287,49.89071634584827,l,1587.7969572440738,7528.096580862285,45.797119107214556,8.575396287685802,20.837582070599705
Rub Al Khali,21.217792510986328,50.34364318847656,b,613.354012262794,4274.1615684668695,11.68380878526703,b,613.354012262794,4274.1615684668695,11.68380878526703,4.034688222553161,6.702792161528522
El Djouf,19.812639236450195,356.061767578125,b,761.2460711306084,1339.5257660838083,22.32716160571466,b,761.2460711306084,1339.5257660838083,22.32716160571466,6.989104920913645,12.294752544208713
El Djouf,20.37470054626465,355.780517578125,b,804.3488113080579,1310.8584046042884,20.502099503490467,b,804.3488113080579,1310.8584046042884,20.502099503490467,6.85862540747687,11.660594720563724
Rub Al Khali,20.37470054626465,51.18739318847656,t,638.4243692780054,2959.866861467588,13.32124768072051,t,638.4243692780054,2959.866861467588,13.32124768072051,2.623874825130613,5.430774085576522
Rub Al Khali,21.77985191345215,52.8748893737793,b,1785.3241117090429,3182.359295989365,35.39255945902057,b,588.7322372364683,1504.4804411160035,22.224821674748817,4.12398969090062,7.415380368665444
El Djouf,17.283367156982422,356.343017578125,b,565.0557367602992,718.8245188823203,18.421187573851668,b,565.0557367602992,718.8245188823203,18.421187573851668,3.585162950348523,11.0390617364552
Rub Al Khali,20.093669891357422,48.93739700317383,l,1414.5489685150537,21181.14816953326,27.051855085304393,l,1414.5489685150537,21181.14816953326,27.051855085304393,2.755210712976806,5.357630349452973
Rub Al Khali,19.5316104888916,51.74989318847656,b,980.6961656624001,4757.794475977026,39.605553283781084,b,624.8494146739577,976.4569317481189,25.03916977630949,0.8662339602386481,4.361704174432238
Rub Al Khali,20.093669891357422,55.68738555908203,s,1641.8864541588384,2933.788770315319,36.75709187189846,s,1641.8864541588384,2933.788770315319,36.75709187189846,2.1200719634410228,6.027661062024438
El Djouf,20.655731201171875,356.905517578125,n,1103.0945925098201,1513.077544797423,31.74243525457218,n,1103.0945925098201,1513.077544797423,31.74243525457218,9.863209464906973,14.536084667921001
Idehan Murzuk,23.7470645904541,12.65622329711914,l,421.8412368171768,864.2946669431238,22.310104950553686,l,421.8412368171768,864.2946669431238,22.310104950553686,2.007088332213262,8.025162195281528
Grand Erg Oriental,31.61591339111328,8.437482833862305,s,1778.7485319849352,2704.392729785006,37.69520790575203,s,1778.7485319849352,2704.392729785006,37.69520790575203,4.948858231533825,21.78137575865379
El Djouf,20.9367618560791,349.593017578125,l,1276.3372876129572,44490.92235289085,34.36916014936214,b,318.98823871288465,813.5975543183387,15.62389612745197,11.443941806998973,15.85276504836277
Aoukar,18.12645721435547,351.561767578125,t,1414.51943270318,10336.17914713975,17.653638091607846,t,1414.51943270318,10336.17914713975,17.653638091607846,11.242406342893617,18.026159013130226
Grand Erg Occidental,29.929733276367188,0.5624988079071045,l,930.9250050035591,13227.50071744333,29.252163601070006,l,930.9250050035591,13227.50071744333,29.252163601070006,9.614720677034244,24.664992825024886
Rub Al Khali,20.093669891357422,49.21864700317383,l,1431.9212139524957,18737.55015460314,31.503642082318542,b,270.8867039364466,965.4930904263226,9.074140545638045,2.6137329072071505,5.351710885604081
Rub Al Khali,19.812639236450195,45.84365463256836,l,1050.3499664326596,24317.892923059197,33.89157380485487,l,599.1548991623736,3348.3639818629194,17.6877514019298,1.4470044457089335,4.639894185272139
El Djouf,21.498821258544922,353.530517578125,l,1474.2505129473022,15040.148428375007,35.05142635580109,b,274.63997987284154,453.0032663640006,14.668723438437437,9.208540132137582,14.152723171026976
El Djouf,18.12645721435547,356.061767578125,b,763.9529995054468,1268.0531546764241,28.228764291411583,b,763.9529995054468,1268.0531546764241,28.228764291411583,5.771908920656682,14.184127484498989
Aoukar,17.845428466796875,351.843017578125,b,2066.1803308480994,3228.394165973505,23.96460050116814,b,2066.1803308480994,3228.394165973505,23.96460050116814,8.76497465715219,16.218346043658393
Rub Al Khali,20.9367618560791,55.40613555908203,s,1644.6630256475453,3074.0067682106846,29.52507008364559,s,1644.6630256475453,3074.0067682106846,29.52507008364559,1.0367635934868613,5.252273942966217
Kumtag Desert,39.76579284667969,92.53105926513672,s,1834.4100849845515,8993.68039036962,110.95354182213434,s,1834.4100849845515,8993.68039036962,110.95354182213434,2.4284101347229683,7.879550754616041
Trarza Reion Desert,18.96954917907715,345.655517578125,l,1926.1885372174916,26099.89908052862,30.446129462338174,b,476.4257003595704,1132.8304186822309,17.551298160642006,10.87176595868074,21.064913602453565
El Djouf,17.56439781188965,354.655517578125,t,849.257067145025,1296.8642921580474,17.960657884505373,b,466.6210596771889,554.6256269667927,11.786148716232873,6.536593643918624,13.930454171017168
An Nafud \& Ad Dahna,28.24355125427246,41.62491226196289,b,1055.6801336168173,2581.957061551817,53.31910403320399,b,1055.6801336168173,2581.957061551817,53.31910403320399,2.1422438321257986,5.862617565896652
El Djouf,18.407487869262695,354.093017578125,t,689.4440000380266,3413.756231154027,17.056655160973765,b,446.05478949600194,622.9590321954357,14.4981568868277,7.575048307892314,15.162676833865742
Grand Erg Occidental,30.21076202392578,0.0,t,1761.8578785064988,12868.86112967349,40.594839283117565,t,1761.8578785064988,12868.86112967349,40.594839283117565,7.134844180034763,23.329234819950027
East Erg Issaouane,28.24355125427246,8.437482833862305,b,2249.2095124083967,5827.04268629963,63.91128688816871,b,2249.2095124083967,5827.04268629963,63.91128688816871,5.811358459010129,18.28717956380129
Rub Al Khali,21.77985191345215,52.3123893737793,l,666.1604879228945,7840.898713011516,21.32081895121721,l,461.372204981691,4058.0526604792353,17.977714539666348,4.545078052505849,7.952777905934744
Rub Al Khali,18.407487869262695,49.21864700317383,l,1445.9129894289008,32351.81606245236,36.80826183738139,l,1445.9129894289008,32351.81606245236,36.80826183738139,0.9844382358880138,4.697443299911265
El Djouf,18.688518524169922,354.093017578125,b,640.0297950245474,2079.5281859164315,16.664352092271372,b,352.77885173341343,505.86361575660914,10.7286360962525,7.727214671165099,14.923912395264004
Rub Al Khali,21.498821258544922,54.84363555908203,b,1661.9247544023158,3045.338626340926,46.12119555527306,b,1661.9247544023158,3045.338626340926,46.12119555527306,1.926762790824766,5.030971085216749
Badain Jaran Desert,39.76579284667969,101.53103637695312,s,2488.3037797090983,9123.852511122395,175.6835481580298,s,2488.3037797090983,9123.852511122395,175.6835481580298,8.814087239120548,26.49671815044091
Rub Al Khali,21.498821258544922,52.3123893737793,l,953.9183659394412,25652.255929110048,26.35253222370447,l,953.9183659394412,25652.255929110048,26.35253222370447,4.091442781001075,7.360235219650519
Rub Al Khali,18.688518524169922,50.06239700317383,l,1510.0875089907865,30240.792036016843,55.62175247993545,l,1510.0875089907865,30240.792036016843,55.62175247993545,1.7309179560180765,5.635425394368831
Rub Al Khali,22.3419132232666,50.90614318847656,b,2165.822740643474,9910.756982513578,16.88608860936403,b,2165.822740643474,9910.756982513578,16.88608860936403,5.655858040730307,8.279039859241438
Central Takla Makan,40.608882904052734,86.34356689453125,n,1556.0077742216513,8791.39372874064,75.59509567343575,n,1556.0077742216513,8791.39372874064,75.59509567343575,9.272151760502444,13.537791712363061
Rub Al Khali,22.060882568359375,52.8748893737793,t,558.6724885978358,2779.490875070215,23.896373880524248,t,558.6724885978358,2779.490875070215,23.896373880524248,5.037671824669689,8.661659664400238
Grand Erg Oriental,29.367671966552734,5.906237602233887,l,1306.6459342168498,16256.582449293546,36.62063863061067,s,752.4801814777258,1358.5211743535913,30.53141273814304,2.7145350752541066,16.722536963239097
Grand Erg Occidental,31.05385398864746,1.4062470197677612,b,1417.9579429362898,4562.153998447597,36.16010894126438,b,1417.9579429362898,4562.153998447597,36.16010894126438,3.82303504603757,22.961283359108577
Central Takla Makan,38.92270278930664,81.84358215332031,l,947.0501647175884,5641.156865877297,25.431472845011886,b,457.4958053083169,858.2885127971922,19.581040124797884,5.49058855194308,9.787865299216499
Rub Al Khali,21.217792510986328,53.1561393737793,b,729.103608404266,1346.4004272923087,23.060597777636534,b,729.103608404266,1346.4004272923087,23.060597777636534,2.3069562299954467,5.590598939495024
"Azefal, Akchar \& Agneitir Sand Seas",20.093669891357422,345.093017578125,b,1850.940090339263,5663.3656426729285,23.77697729439743,b,474.06562586235407,815.1787129711323,13.457700922008302,18.937687952130112,24.470242129395572
El Djouf,20.655731201171875,352.124267578125,l,1268.5588713283887,40260.77709203119,46.47938531365351,l,1268.5588713283887,40260.77709203119,46.47938531365351,8.857191578729585,13.782705425351343
Rub Al Khali,20.9367618560791,55.968631744384766,s,1443.1987310878847,4360.970529253791,30.97488577232836,s,1443.1987310878847,4360.970529253791,30.97488577232836,1.5571933351330633,5.649812338027829
Rub Al Khali,19.812639236450195,54.84363555908203,s,1333.4188875198734,3050.2853705936864,24.49335681115833,s,1333.4188875198734,3050.2853705936864,24.49335681115833,3.4800812149727953,7.106598086253343
Munga-Thirri,-24.028095245361328,136.9684600830078,l,354.839210282778,5318.563060586407,17.773034677734664,l,180.52866711904616,459.9550720357466,12.110225164291373,11.301018404006797,17.677472777360766
El Djouf,22.060882568359375,349.311767578125,l,940.2550604748336,20000.706357623632,38.633323939605575,b,374.9238754879343,615.5039401912215,22.241878329909788,6.496270505749474,11.118160111509935
Rub Al Khali,22.060882568359375,50.90614318847656,l,1845.3743367995119,13818.675858375598,17.48307153999811,l,1845.3743367995119,13818.675858375598,17.48307153999811,5.122694226173774,7.830197769152181
Trarza Reion Desert,17.845428466796875,344.811767578125,l,1101.2326347987448,26475.451442439466,33.84040383937195,l,1101.2326347987448,26475.451442439466,33.84040383937195,9.100458116579393,19.409079768544775
Rub Al Khali,21.217792510986328,54.56238555908203,b,1157.3890031510327,2177.722343329804,41.771748489224755,b,1157.3890031510327,2177.722343329804,41.771748489224755,1.3813378142783417,5.352280721937243
Munga-Thirri,-25.714277267456055,136.9684600830078,l,399.07625707482487,4613.433475125968,18.421187573851668,l,144.00585826902199,479.298328776703,5.492242961833553,5.7332702518972205,10.291717198004045
El Djouf,21.217792510986328,353.530517578125,l,702.9266495056982,7764.554167094035,22.429501536680505,l,384.6977614272875,2379.943426526299,15.79446267906171,8.91482509791728,13.769483614418235
Grand Erg Occidental,30.21076202392578,358.8742370605469,l,1731.110034582349,13181.736952709834,27.88763118819211,l,1731.110034582349,13181.736952709834,27.88763118819211,5.66119826270729,22.84549368821266
An Nafud \& Ad Dahna,28.24355125427246,41.34366226196289,l,1252.2874595799562,6197.888654218611,59.13542344309604,b,764.2480002750196,1158.8133560300846,35.44372942450349,2.344888723339094,5.977562364815948
East Takla Makan,39.76579284667969,88.87481689453125,b,1700.7587557545444,2071.156678323501,22.344218260875632,b,1700.7587557545444,2071.156678323501,22.344218260875632,41.838750941265786,46.57253791885835
Rub Al Khali,19.5316104888916,45.28115463256836,l,1788.808176448403,39191.046949993535,28.228764291411583,l,1788.808176448403,39191.046949993535,28.228764291411583,2.406708461957044,6.333274237022248
El Djouf,22.3419132232666,354.936767578125,l,1655.160284387768,34772.556014480615,37.098224975117944,l,1655.160284387768,34772.556014480615,37.098224975117944,8.830730035067875,14.54394512631095
Rub Al Khali,20.093669891357422,51.18739318847656,b,545.6156244008212,3076.3571688928255,12.4172449571889,b,545.6156244008212,3076.3571688928255,12.4172449571889,2.2394942051982945,5.260716297717543
Ergs Iguidi \& Chech,24.59015655517578,357.468017578125,l,2799.4946957274947,45139.78847680074,54.274276722218524,b,1417.8237612839441,6013.6542720143825,38.75272052573239,10.321728937985132,16.595497966024798
Northwest Takla Makan,39.484764099121094,80.15608215332031,b,708.4795379237754,1192.3107297547344,20.348589607041703,b,393.2986230733166,547.8075671421878,14.259363714574068,4.776398067587642,8.063226324334524
El Djouf,21.77985191345215,350.718017578125,l,1046.0295269399232,7476.996910132894,36.87648845802528,b,554.1901619743808,880.7599075648752,27.614724705616528,6.905932739761426,11.05658763745795
Grand Erg Occidental,29.929733276367188,0.0,b,1185.6749900387601,3417.2409718830113,32.47587142649405,l,176.54684430323545,380.0248908555852,6.1062825476286084,8.461021003825602,23.561363563027214
Ergs Iguidi \& Chech,27.681489944458008,356.905517578125,l,2121.182698467546,29444.691267140344,42.47107135082467,s,698.2104830448613,1152.9837879230165,26.608382051119076,1.0297978218648836,20.145127410566257
El Djouf,19.812639236450195,350.155517578125,l,793.7792186464122,26218.752789199996,21.218479020251365,b,271.59633856848876,489.32467058218316,10.080483200135497,10.890456376820808,18.23834448954911
El Djouf,17.845428466796875,357.468017578125,l,716.8025858938834,19288.675134317178,27.461214809167764,b,328.32243432891346,722.2944596138142,16.084425816798262,3.9838338323383664,12.136684434400204
Namib Sand Sea,-25.714277267456055,15.187468528747559,b,1018.6235773624444,1433.0300097359702,31.81066187521607,b,1018.6235773624444,1433.0300097359702,31.81066187521607,12.37611663289255,19.192248501256824
Grand Erg Oriental,29.929733276367188,7.031235218048096,s,1921.926438665199,2847.5854012177074,52.12513817193583,s,1921.926438665199,2847.5854012177074,52.12513817193583,1.288583792975164,17.084875150948005
Badain Jaran Desert,40.04682540893555,100.68728637695312,n,1750.1805312435238,5881.085049281686,117.00865440428002,n,1750.1805312435238,5881.085049281686,117.00865440428002,8.361820838232191,28.212281284089485
Rub Al Khali,18.407487869262695,48.93739700317383,l,1432.402951433255,45051.966376723765,51.596381861945645,l,1432.402951433255,45051.966376723765,51.596381861945645,1.0786270625058552,4.798203830645733
Central Takla Makan,37.51755142211914,81.56233215332031,t,1735.2614580077175,10375.69154507702,69.93228615999244,t,1735.2614580077175,10375.69154507702,69.93228615999244,2.748767238465763,9.384149824703291
Central Takla Makan,37.798580169677734,82.96857452392578,t,1720.217954968715,12451.175843006444,46.13825221043404,t,1720.217954968715,12451.175843006444,46.13825221043404,3.97047163668433,10.339130528929982
Sinai Negev Erg,30.491792678833008,32.62493133544922,s,2064.304199087043,3438.71632323183,42.5222413163076,s,602.3517787647861,818.074165113626,22.258934985070766,2.477884423077306,7.966251637457235
Central Takla Makan,37.51755142211914,80.71858215332031,b,1145.3937340828495,2740.41805163247,22.173651709265897,b,1145.3937340828495,2740.41805163247,22.173651709265897,4.175559407981328,9.206171948314855
